img_id,gt_lat,predicted_lat,gt_long,predicted_long,great_circle_distance,url,available,author,license_id,license_name,license_url
263896481_2f807d19ee_80_74806935@N00.jpg,37.318012,43.668879,-121.950309,-79.410539,3624.88,,0,,,,
348532716_5a2b306c86_136_98767940@N00.jpg,17.129307,32.690517,-89.065818,-16.857754,7352.16,https://farm1.staticflickr.com/136/348532716_5a2b306c86.jpg,1,c.pommier,0,All Rights Reserved,
363322243_42e6b4babe_100_26234358@N00.jpg,52.525047,52.524304,13.366949,13.367800,0.10,,0,,,,
427188519_bcf177e48b_146_84752760@N00.jpg,41.401149,41.384219,2.163276,2.175989,2.16,https://farm1.staticflickr.com/146/427188519_bcf177e48b.jpg,1,jennicatpink,5,CC-BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/
508033358_5d1f3bc07a_221_8393530@N05.jpg,25.073471,12.138159,-77.327785,-68.510664,1710.88,https://farm1.staticflickr.com/221/508033358_5d1f3bc07a.jpg,1,shame00,0,All Rights Reserved,
510183020_3dec046e80_192_77392231@N00.jpg,13.724085,34.679912,100.392208,135.501230,4220.24,https://farm1.staticflickr.com/192/510183020_3dec046e80.jpg,1,-Andrew-,0,All Rights Reserved,
980263629_f3373fa294_1253_9729483@N02.jpg,52.504914,48.737473,13.36284,19.295863,591.82,https://farm2.staticflickr.com/1253/980263629_f3373fa294.jpg,1,scott_allen13,0,All Rights Reserved,
Chicago_00080_496345089_f5d47dea91_196_69212252@N00.jpg,41.939545,27.196940,-87.639586,-81.966802,1718.55,,0,,,,
Istanbul_00021_475022521_99f3da9240_170_69445076@N00.jpg,41.071069,31.624904,28.948974,-7.987399,3441.63,https://farm1.staticflickr.com/170/475022521_99f3da9240.jpg,1,Dana Loustalot Duncan,0,All Rights Reserved,
Oman_00001_159023565_dc1b205e99_70_67879480@N00.jpg,23.606306,41.403616,58.537731,2.174218,5536.71,https://farm1.staticflickr.com/70/159023565_dc1b205e99.jpg,1,Em and Ernie,0,All Rights Reserved,
Paris_00011_71800567_f579201d15_35_18684820@N00.jpg,48.866521,48.853960,2.329101,2.341989,1.69,https://farm1.staticflickr.com/35/71800567_f579201d15.jpg,1,Ian Fuller,2,CC-BY-NC 2.0,https://creativecommons.org/licenses/by-nc/2.0/
Paris_00160_524943416_6cc4913ba0_249_80246871@N00.jpg,48.805012,48.804803,2.121015,2.120806,0.03,https://farm1.staticflickr.com/249/524943416_6cc4913ba0.jpg,1,Yudi Setiawan,0,All Rights Reserved,
Syria_00001_91276050_f4598af84a_27_80528961@N00.jpg,33.522792,52.519857,36.309814,13.395707,2791.94,https://farm1.staticflickr.com/27/91276050_f4598af84a.jpg,1,Erik Daugaard Photography - Copenhagen,0,All Rights Reserved,
Thailand_00034_327008969_eda8c71554_140_17362713@N00.jpg,12.925599,41.018541,100.891571,28.971780,7558.35,,0,,,,
Tokyo_00070_439717934_3d0fd200f1_180_97324495@N00.jpg,35.690428,35.671467,139.704803,139.769627,6.22,,0,,,,
america_00003_225732316_f761e65a4e_70_70484005@N00.jpg,41.746157,40.027828,-73.932248,-85.996642,1031.11,https://farm1.staticflickr.com/70/225732316_f761e65a4e.jpg,1,jbaugher,0,All Rights Reserved,
nyc_00037_195999660_2dba8fdba9_60_40829484@N00.jpg,40.455307,40.680704,-75.300292,-73.976930,114.56,https://farm1.staticflickr.com/60/195999660_2dba8fdba9.jpg,1,PauloRibeiro,0,All Rights Reserved,
nyc_00042_220554146_bf077ea42f_66_20871343@N00.jpg,40.763874,-33.826750,-73.973243,151.245414,15986.92,,0,,,,
venice_00002_69431815_c01190b915_35_39303693@N00.jpg,45.433515,45.431721,12.346229,12.345877,0.20,https://farm1.staticflickr.com/35/69431815_c01190b915.jpg,1,gsgeorge,0,All Rights Reserved,
104123223_7410c654ba_19_19355699@N00.jpg,-16.663606,48.088893,145.563537,11.548968,14583.29,https://farm1.staticflickr.com/19/104123223_7410c654ba.jpg,1,m0bile,6,CC-BY-ND 2.0,https://creativecommons.org/licenses/by-nd/2.0/
1257001714_3453f5fc4b_1405_11490799@N08.jpg,55.485759,18.872719,28.791046,102.407668,7261.78,,0,,,,
195179890_dfc29db44a_70_73935513@N00.jpg,-25.499066,-25.692572,-54.621276,-54.447968,27.66,https://farm1.staticflickr.com/70/195179890_dfc29db44a.jpg,1,Sean And Trish,0,All Rights Reserved,
222911552_50f2a18fde_66_56186870@N00.jpg,60.773746,65.488820,-148.812046,-44.550722,4660.60,https://farm1.staticflickr.com/66/222911552_50f2a18fde.jpg,1,ldrose,3,CC-BY-NC-ND 2.0,https://creativecommons.org/licenses/by-nc-nd/2.0/
251058170_ba714bfb50_87_67484939@N00.jpg,34.841334,30.289151,-92.486429,-98.870671,783.35,https://farm1.staticflickr.com/87/251058170_ba714bfb50.jpg,1,Alton Roberts,0,All Rights Reserved,
317019036_3b57b5b2e9_104_56249023@N00.jpg,-47.031934,-49.430560,-67.259674,-72.891974,494.95,https://farm1.staticflickr.com/104/317019036_3b57b5b2e9.jpg,1,Luisa...,0,All Rights Reserved,
317024157_467511cd94_107_56249023@N00.jpg,-50.358604,-44.084505,-72.285575,170.312864,7899.79,https://farm1.staticflickr.com/107/317024157_467511cd94.jpg,1,Luisa...,0,All Rights Reserved,
317369069_16c7477d63_134_78221228@N00.jpg,-50.462312,-50.443958,-73.005523,-73.085166,6.00,https://farm1.staticflickr.com/134/317369069_16c7477d63.jpg,1,Jake&Sam,0,All Rights Reserved,
336999316_7fda2b00b1_142_65367662@N00.jpg,39.44017,65.199066,-120.23025,13.200034,7702.40,https://farm1.staticflickr.com/142/336999316_7fda2b00b1.jpg,1,Vlad & Marina Butsky,4,CC-BY 2.0,https://creativecommons.org/licenses/by/2.0/
338553788_a32e785773_163_21535758@N00.jpg,34.987253,36.145046,68.466796,102.989713,3108.81,https://farm1.staticflickr.com/163/338553788_a32e785773.jpg,1,omarafgh,0,All Rights Reserved,
338603422_520f0ce2ff_138_21535758@N00.jpg,36.884014,40.733607,68.57666,-6.745329,6333.63,https://farm1.staticflickr.com/138/338603422_520f0ce2ff.jpg,1,omarafgh,0,All Rights Reserved,
340942713_d485388d6d_152_21341800@N00.jpg,36.765291,30.012491,68.812866,31.219680,3546.43,https://farm1.staticflickr.com/152/340942713_d485388d6d.jpg,1,Jürg Christandl,0,All Rights Reserved,
391838246_31758bc752_139_94949650@N00.jpg,49.341342,37.896834,-123.01546,-122.568150,1273.07,https://farm1.staticflickr.com/139/391838246_31758bc752.jpg,1,Escuincle,0,All Rights Reserved,
421350511_ee899b609d_129_85417391@N00.jpg,32.242796,33.458910,-111.167714,-111.945885,153.52,https://farm1.staticflickr.com/129/421350511_ee899b609d.jpg,1,billandkent,3,CC-BY-NC-ND 2.0,https://creativecommons.org/licenses/by-nc-nd/2.0/
432236572_f2da926f89_166_75452460@N00.jpg,47.298266,42.661865,13.686389,1.019274,1119.93,https://farm1.staticflickr.com/166/432236572_f2da926f89.jpg,1,rudi_valtiner,0,All Rights Reserved,
437613430_d1466ffcdb_178_71613077@N00.jpg,39.988497,33.587667,116.184368,130.362840,1446.85,https://farm1.staticflickr.com/178/437613430_d1466ffcdb.jpg,1,bgbirgit14,1,CC-BY-NC-SA 2.0,https://creativecommons.org/licenses/by-nc-sa/2.0/
453214262_2252fbefff_212_55126705@N00.jpg,35.521425,-24.152339,-111.372699,131.571098,13914.59,https://farm1.staticflickr.com/212/453214262_2252fbefff.jpg,1,Giese555,0,All Rights Reserved,
466882217_a9c6760cc4_220_64825499@N00.jpg,12.607003,20.606544,-70.055952,-87.095221,2019.66,https://farm1.staticflickr.com/220/466882217_a9c6760cc4.jpg,1,Brad Knowles,1,CC-BY-NC-SA 2.0,https://creativecommons.org/licenses/by-nc-sa/2.0/
522546192_0030ad0eb1_237_61819159@N00.jpg,-14.666716,-17.110973,145.448513,-149.309923,6949.96,,0,,,,
780091415_c803d82672_1332_88971695@N00.jpg,-25.354342,-25.318802,131.046295,131.017518,4.90,https://farm2.staticflickr.com/1332/780091415_c803d82672.jpg,1,mixolution,0,All Rights Reserved,
872841181_2ef32acf29_1371_66281185@N00.jpg,36.057694,36.057904,-112.136614,-112.107888,2.58,,0,,,,
952602201_87da454e31_1323_19953481@N00.jpg,46.702202,42.718607,12.991333,0.117938,1107.84,https://farm2.staticflickr.com/1323/952602201_87da454e31.jpg,1,davisj,0,All Rights Reserved,
Antigua_00003_483035669_21c8bdeb2d_185_61417564@N00.jpg,16.998628,22.203031,-61.755861,-159.607838,10074.33,https://farm1.staticflickr.com/185/483035669_21c8bdeb2d.jpg,1,sharkbait,1,CC-BY-NC-SA 2.0,https://creativecommons.org/licenses/by-nc-sa/2.0/
Arizona_00044_527647931_821085049a_1048_7412395@N07.jpg,36.065673,36.055964,-112.11713,-112.135719,1.99,,0,,,,
Azerbaijan_00003_1293945458_c58bd8d7c4_1048_97522422@N00.jpg,40.094882,37.126894,49.387664,38.407833,1008.65,https://farm2.staticflickr.com/1048/1293945458_c58bd8d7c4.jpg,1,mortsan,0,All Rights Reserved,
Bahamas_00006_343059190_9c31e29446_134_39595541@N00.jpg,25.114046,25.070397,-77.126255,-77.361882,24.22,https://farm1.staticflickr.com/134/343059190_9c31e29446.jpg,1,pjpringle,0,All Rights Reserved,
Bangkok_00011_215914338_705d7ea038_92_20194767@N00.jpg,9.376241,-23.095413,99.94091,-44.198493,15909.36,,0,,,,
Bolivia_00014_1347017613_651a38b69d_1376_11786349@N08.jpg,-20.457333,-22.097478,-66.913604,-68.063635,217.85,,0,,,,
Botswana_00001_108331635_4dccd99e9d_52_73091266@N00.jpg,-19.116137,-19.139361,23.827285,23.832584,2.64,https://farm1.staticflickr.com/52/108331635_4dccd99e9d.jpg,1,Makgobokgobo,0,All Rights Reserved,
California_00197_718693402_4ba930995d_1150_7980350@N08.jpg,37.752614,37.738708,-119.526979,-119.540609,1.96,https://farm2.staticflickr.com/1150/718693402_4ba930995d.jpg,1,Justin Kane,0,All Rights Reserved,
Canada_00113_568886932_37f47747b8_1250_48264126@N00.jpg,52.202557,52.122864,-117.239742,-116.866846,26.93,https://farm2.staticflickr.com/1250/568886932_37f47747b8.jpg,1,jeffowenphotos,0,All Rights Reserved,
Colombia_00009_487789777_0003ed5872_212_16836474@N00.jpg,-4.219137,-3.828788,-69.938964,-72.042883,237.37,https://farm1.staticflickr.com/212/487789777_0003ed5872.jpg,1,Gerardo_Alberto,0,All Rights Reserved,
Colorado_00057_1199140107_b35790beec_1001_59341685@N00.jpg,39.450311,42.320022,-106.470608,9.034121,8841.77,https://farm2.staticflickr.com/1001/1199140107_b35790beec.jpg,1,John and Belinda,3,CC-BY-NC-ND 2.0,https://creativecommons.org/licenses/by-nc-nd/2.0/
CostaRica_00017_500118634_993d0110b5_199_78225438@N00.jpg,9.976965,48.416105,-84.842176,-123.384462,5575.73,https://farm1.staticflickr.com/199/500118634_993d0110b5.jpg,1,Betty R,0,All Rights Reserved,
Croatia_00021_473963193_d9ce489f23_222_18744817@N00.jpg,44.881174,44.870152,15.616722,15.615743,1.23,,0,,,,
Cuba_00025_699768122_15733c7a1a_1425_8078991@N04.jpg,23.121653,18.595962,-81.347064,-68.542797,1421.65,,0,,,,
Dominica_00002_479941913_0bf2cf5743_169_7687052@N07.jpg,15.574013,11.469553,-61.455373,-85.535189,2641.34,https://farm1.staticflickr.com/169/479941913_0bf2cf5743.jpg,1,mevans2381,0,All Rights Reserved,
Ecuador_00016_1042198302_3e83aea565_1079_7132415@N03.jpg,-0.967437,25.475961,-77.763977,-80.624139,2956.42,https://farm2.staticflickr.com/1079/1042198302_3e83aea565.jpg,1,Adrian Liston,0,All Rights Reserved,
Greenland_00001_384853046_34ad6e1163_159_82952591@N00.jpg,60.185232,68.046632,-44.217224,13.444734,2812.19,https://farm1.staticflickr.com/159/384853046_34ad6e1163.jpg,1,Jon Vidar,0,All Rights Reserved,
Hawaii_00072_532408762_9c4ecc305a_1200_79756109@N00.jpg,20.881077,22.203031,-156.545133,-159.607838,349.20,,0,,,,
Iceland_00003_108349138_41786e87da_40_56945335@N00.jpg,63.794617,78.192030,-17.720947,15.326214,1940.42,https://farm1.staticflickr.com/40/108349138_41786e87da.jpg,1,sjameron,0,All Rights Reserved,
Ireland_00007_91942412_95795b8eb9_41_11398209@N00.jpg,53.360182,53.342887,-6.188049,-6.184093,1.94,https://farm1.staticflickr.com/41/91942412_95795b8eb9.jpg,1,dp_brehony,0,All Rights Reserved,
Italy_00100_453717251_4f9e5ec1b7_186_79039156@N00.jpg,44.30226,44.279853,9.212894,9.349590,11.16,https://farm1.staticflickr.com/186/453717251_4b9e0ac39c.jpg,1,Lookaloopy,0,All Rights Reserved,
Italy_00134_844603727_96b5c1d9bc_1229_76306992@N00.jpg,43.348151,43.382379,11.510925,11.214003,24.30,,0,,,,
Kenya_00017_1061753413_0861543f7e_1267_17351226@N00.jpg,-1.293015,-24.715943,36.815357,31.416040,2668.35,,0,,,,
London_00044_152057337_45584126c5_48_90672364@N00.jpg,51.47879,51.501569,-0.291255,-0.131760,11.33,,0,,,,
Melbourne_00004_129975593_87d37e1218_53_28026984@N00.jpg,-37.829175,-33.836939,144.971466,151.210970,716.25,https://farm1.staticflickr.com/53/129975593_87d37e1218.jpg,1,thribble,0,All Rights Reserved,
Mongolia_00002_207032483_20095af4a6_60_14542551@N00.jpg,48.973343,58.429590,89.959659,-5.519747,5828.30,https://farm1.staticflickr.com/60/207032483_20095af4a6.jpg,1,harunire,1,CC-BY-NC-SA 2.0,https://creativecommons.org/licenses/by-nc-sa/2.0/
Montana_00013_452159720_caae190cec_196_93487964@N00.jpg,42.907186,38.586789,-5.561764,-78.400115,5958.93,https://farm1.staticflickr.com/196/452159720_caae190cec.jpg,1,Mundo Desconcertante,1,CC-BY-NC-SA 2.0,https://creativecommons.org/licenses/by-nc-sa/2.0/
Morocco2_00003_369458188_1dcee11573_178_13527886@N00.jpg,31.39819,30.609434,-7.635498,-8.842210,144.63,https://farm1.staticflickr.com/178/369458188_1dcee11573.jpg,1,Wee Kojak,0,All Rights Reserved,
