IMG_ID,AUTHOR,LAT,LON,S3_Label,S16_Label,S365_Label,Prob_indoor,Prob_natural,Prob_urban
1000269685_e60e9cdfb4_1125_78841376@N00.jpg,78841376@N00,32.325436,-64.764404,2,12,353,0.27424151079564574,0.045113281211733636,0.6806452318211216
1000304467_1a75a200b1_1296_78841376@N00.jpg,78841376@N00,32.325436,-64.764404,0,4,325,0.4144071981658115,0.22091209564322867,0.3646807240505865
1001048550_8e4b47d165_1051_78841376@N00.jpg,78841376@N00,32.325436,-64.764404,1,8,36,0.007326058949977288,0.969902786099567,0.022771086561514053
1005977048_5ccf8b05d3_1201_91728102@N00.jpg,91728102@N00,29.976052,122.390356,2,6,273,0.003867831311822556,0.4766645653071464,0.5194675129778261
1008804117_ce4e6fef8a_1349_97522422@N00.jpg,97522422@N00,46.478536,30.758714,0,0,198,0.9738777834861061,0.00245250420223897,0.023669660259506564
1008845063_ace4ef829f_1204_97522422@N00.jpg,97522422@N00,46.478536,30.758714,2,11,61,0.3293921160957325,0.051412280552085576,0.619195551654002
101220879_0a1be45b79_33_24311489@N00.jpg,24311489@N00,42.249915,-87.82711,1,8,249,7.1890073538305455e-06,0.9968880413262404,0.0031048544178260418
1014898753_ef4cfaa5d6_1354_96928198@N00.jpg,96928198@N00,62.140088,6.074967,1,7,350,0.04238725508240673,0.9495366928697013,0.008076133046960837
1019846234_5e471a10e2_1155_97522422@N00.jpg,97522422@N00,42.197494,44.693069,0,2,95,0.5993098890070883,0.16420402950006974,0.23648599559021477
1021054395_ca7cfe55b3_1061_7132415@N03.jpg,7132415@N03,-0.400997,-90.704498,1,6,191,0.22294626285030716,0.4703152232535217,0.3067385358962973
1023756068_20c3ffc329_1039_70323761@N00.jpg,70323761@N00,40.807694,-73.962262,2,14,364,0.015913074674354988,0.008974949788065345,0.9751119240191919
1029739337_ff06001d12_1361_7132415@N03.jpg,7132415@N03,-0.292509,-90.532493,1,7,306,0.007375189757839518,0.8696209751940369,0.12300380303208946
103385471_f54982a801_29_73293249@N00.jpg,73293249@N00,46.006873,7.279987,1,7,232,0.0003289347209740612,0.9230054553145237,0.07666563272366034
103398485_db45794d93_36_73293249@N00.jpg,73293249@N00,46.21488,7.049309,1,6,305,7.460072349618763e-05,0.5837487230224809,0.4161766379567807
103404365_f852148f5b_34_73293249@N00.jpg,73293249@N00,46.080783,7.399454,2,15,132,0.02588457312413084,0.001095250110502377,0.9730201618399974
103433117_266c57c2e6_29_73293249@N00.jpg,73293249@N00,46.167286,7.099698,1,7,73,6.061938011425738e-05,0.9905226579893558,0.009416781974313171
103433770_9b651cfd20_32_73293249@N00.jpg,73293249@N00,46.167286,7.099698,1,7,30,0.0820246114215557,0.831006660909793,0.0869687034854536
103442236_09c8d53dbc_37_73293249@N00.jpg,73293249@N00,51.501821,-0.140655,2,11,84,2.8096916501851865e-05,0.0027554163005714116,0.9972163453404939
