IMG_ID,AUTHOR,LAT,LON,S3_Label,S16_Label,S365_Label,Prob_indoor,Prob_natural,Prob_urban
104123223_7410c654ba_19_19355699@N00.jpg,19355699@N00,-16.663606,145.563537,1,8,150,0.002959289950443811,0.7778147804293098,0.21922582997457596
1095548455_f636d22cbb_1277_8576809@N08.jpg,8576809@N08,31.893581,-85.141124,2,15,231,0.003976253882285619,0.016127773052346583,0.9798960119713342
1185597181_0158ab4213_1311_43616936@N00.jpg,43616936@N00,42.346571,-71.097228,2,12,312,4.680233274316492e-06,4.357539228665164e-06,0.9999909642251608
1199004207_0ce4e7a456_1285_16418049@N00.jpg,16418049@N00,37.090924,25.370521,2,15,227,0.0560021347187849,0.0075626038407463625,0.9364352449553586
1257001714_3453f5fc4b_1405_11490799@N08.jpg,11490799@N08,55.485759,28.791046,1,6,205,8.340898350311932e-05,0.9914413061872835,0.008475328191225984
195179890_dfc29db44a_70_73935513@N00.jpg,73935513@N00,-25.499066,-54.621276,1,6,113,5.9797807677286485e-05,0.5437024599131419,0.45623778678772964
212568980_fb3a00288d_71_21844368@N00.jpg,21844368@N00,12.974449,77.562789,2,12,276,0.004497663208031799,0.001077610077114599,0.9944249079218501
222911552_50f2a18fde_66_56186870@N00.jpg,56186870@N00,60.773746,-148.812046,1,6,190,0.0018134412071439954,0.9965174344743204,0.0016691925270571062
243683202_38f0178ce4_88_11807142@N00.jpg,11807142@N00,37.970117,23.720426,2,11,292,0.00010631504737186603,0.49450002181237007,0.5053936041720424
247766999_1de867ab93_96_94409333@N00.jpg,94409333@N00,36.403107,-93.736736,2,12,351,0.07185022739602553,0.0059201231521042175,0.9222296243997139
251058170_ba714bfb50_87_67484939@N00.jpg,67484939@N00,34.841334,-92.486429,1,7,233,0.00014903052701242814,0.7253617425106995,0.2744891759183403
254755691_b3bbae344e_95_79267922@N00.jpg,79267922@N00,39.94133,116.383666,2,15,286,0.02320356016058156,0.0011004594665067202,0.975696026755088
254762082_1a1b6d27d1_121_79267922@N00.jpg,79267922@N00,39.94133,116.383666,2,11,330,0.0006021852733830713,0.00016496227653473028,0.9992328610453978
257034510_2b7d64e610_118_26519935@N00.jpg,26519935@N00,13.74989,100.494861,2,11,252,0.0006673771799796668,0.000431854485739791,0.9989007764413032
257176697_a302df7bec_86_41336221@N00.jpg,41336221@N00,40.366689,49.835443,2,15,132,0.0021818905446764347,0.001698271703219234,0.9961199984323343
263896481_2f807d19ee_80_74806935@N00.jpg,74806935@N00,37.318012,-121.950309,0,2,134,0.9257580899298716,0.0007793246771115037,0.07346256627861081
264192767_4809b75a21_117_35468147630@N01.jpg,35468147630@N01,42.36246,-71.084353,2,11,108,0.001469365309525017,0.0003117746852172587,0.9982187744700131
314328828_2b52ae145e_120_55852171@N00.jpg,55852171@N00,39.996996,116.267988,2,11,251,6.231605857331957e-06,6.992480432588266e-05,0.9999237150973068
315923188_366ee7e6cd_101_14491548@N00.jpg,14491548@N00,51.054991,3.732089,2,15,181,0.0010841305230897547,0.006903542895884129,0.9920123287671458
317019036_3b57b5b2e9_104_56249023@N00.jpg,56249023@N00,-47.031934,-67.259674,1,7,234,0.005529287778383463,0.9203702610980145,0.07410055314932151
317024157_467511cd94_107_56249023@N00.jpg,56249023@N00,-50.358604,-72.285575,1,6,204,0.0001472727744946667,0.9960978520646577,0.0037547921727636435
317369069_16c7477d63_134_78221228@N00.jpg,78221228@N00,-50.462312,-73.005523,1,6,187,7.625329943472536e-05,0.9995855403671712,0.00033826734725206364
336999316_7fda2b00b1_142_65367662@N00.jpg,65367662@N00,39.44017,-120.23025,1,8,141,0.00156115333544804,0.99404621946411,0.004392611413599923
338553788_a32e785773_163_21535758@N00.jpg,21535758@N00,34.987253,68.466796,1,11,292,0.003673270586089572,0.5095122345029495,0.4868144605037088
338603422_520f0ce2ff_138_21535758@N00.jpg,21535758@N00,36.884014,68.57666,1,8,173,0.00016015458865581422,0.5015057383244823,0.4983341454801504
339483173_e48ee06639_139_63163416@N00.jpg,63163416@N00,31.213021,29.946069,2,15,270,0.021134022100454786,0.009288716253195162,0.9695772579289041
340942713_d485388d6d_152_21341800@N00.jpg,21341800@N00,36.765291,68.812866,1,7,116,0.003756984637782068,0.9232677532273215,0.07297519330057156
348532716_5a2b306c86_136_98767940@N00.jpg,98767940@N00,17.129307,-89.065818,0,0,222,0.772985024569401,0.0008643822946154955,0.22615066367849135
363322243_42e6b4babe_100_26234358@N00.jpg,26234358@N00,52.525047,13.366949,0,1,228,0.9987199332811372,6.694041096189096e-05,0.00121315674641842
379263811_e4d22a1ba5_136_59615371@N00.jpg,59615371@N00,34.051166,-84.285993,2,10,175,0.0010447709564633811,0.4138992672192092,0.5850558438050175
391838246_31758bc752_139_94949650@N00.jpg,94949650@N00,49.341342,-123.01546,1,8,150,0.00048069630500080507,0.9643065881026587,0.03521270532210963
392982444_442d787db5_143_65412829@N00.jpg,65412829@N00,39.935276,32.852725,2,15,4,0.0026461646271795924,8.336560595623155e-05,0.9972704688461049
421350511_ee899b609d_129_85417391@N00.jpg,85417391@N00,32.242796,-111.167714,1,7,117,1.8573644193581318e-05,0.9847704970652398,0.015210893135438885
425432303_c817c468e3_166_14882112@N00.jpg,14882112@N00,41.371961,2.166323,2,15,227,0.005788723875145507,0.00019460875127919053,0.9940167186925386
427188519_bcf177e48b_146_84752760@N00.jpg,84752760@N00,41.401149,2.163276,0,5,90,0.8244932289784757,0.00047731802098383014,0.17502945247525759
429777514_e0ba93984e_169_89418754@N00.jpg,89418754@N00,41.403491,2.174423,2,11,334,0.0037746534819476096,0.004604493557593514,0.9916207602828102
429881745_35a951f032_187_37718182@N00.jpg,37718182@N00,41.387627,2.188044,2,14,333,2.728032446943371e-07,0.4998725177216564,0.5001272707137813
432236572_f2da926f89_166_75452460@N00.jpg,75452460@N00,47.298266,13.686389,1,7,233,0.000425921861934242,0.7973147524439241,0.20225934311921812
