img_id,gt_lat,predicted_lat,gt_long,predicted_long,great_circle_distance
1095548455_f636d22cbb_1277_8576809@N08.jpg,31.893581,30.600370,-85.141124,-89.321708,422.60
1185597181_0158ab4213_1311_43616936@N00.jpg,42.346571,42.346776,-71.097228,-71.096264,0.08
1199004207_0ce4e7a456_1285_16418049@N00.jpg,37.090924,36.961819,25.370521,25.286557,16.18
212568980_fb3a00288d_71_21844368@N00.jpg,12.974449,12.952494,77.562789,77.584810,3.41
243683202_38f0178ce4_88_11807142@N00.jpg,37.970117,37.969948,23.720426,23.731053,0.93
247766999_1de867ab93_96_94409333@N00.jpg,36.403107,-33.894805,-93.736736,151.178077,14221.15
254755691_b3bbae344e_95_79267922@N00.jpg,39.94133,39.914241,116.383666,116.390915,3.07
254762082_1a1b6d27d1_121_79267922@N00.jpg,39.94133,39.906191,116.383666,116.389814,3.94
257034510_2b7d64e610_118_26519935@N00.jpg,13.74989,13.751874,100.494861,100.491568,0.42
257176697_a302df7bec_86_41336221@N00.jpg,40.366689,40.215879,49.835443,48.928101,78.76
264192767_4809b75a21_117_35468147630@N01.jpg,42.36246,42.374156,-71.084353,-71.118562,3.10
314328828_2b52ae145e_120_55852171@N00.jpg,39.996996,39.977167,116.267988,116.287876,2.78
315923188_366ee7e6cd_101_14491548@N00.jpg,51.054991,51.054352,3.732089,3.722815,0.65
339483173_e48ee06639_139_63163416@N00.jpg,31.213021,23.138151,29.946069,-82.377355,10614.25
379263811_e4d22a1ba5_136_59615371@N00.jpg,34.051166,34.728659,-84.285993,-86.625040,227.46
392982444_442d787db5_143_65412829@N00.jpg,39.935276,41.141487,32.852725,-8.612607,3473.20
425432303_c817c468e3_166_14882112@N00.jpg,41.371961,41.404546,2.166323,2.158475,3.68
429777514_e0ba93984e_169_89418754@N00.jpg,41.403491,41.403616,2.174423,2.174218,0.02
429881745_35a951f032_187_37718182@N00.jpg,41.387627,41.386030,2.188044,2.188054,0.18
436360592_ef20eb1e98_178_99746029@N00.jpg,39.937908,41.802531,116.398086,-87.653297,10607.53
453384102_723b8a8182_207_55126705@N00.jpg,34.611453,34.649757,-111.841936,-111.792447,6.22
482314949_dbc149bb10_224_50435419@N00.jpg,-34.609758,-34.586438,-58.411216,-58.392316,3.12
502172768_3a7a22811b_213_69641014@N00.jpg,42.34351,37.794194,-71.033585,-122.274482,4323.52
504921450_6f20499550_194_24311489@N00.jpg,33.747894,38.879959,-84.371148,-77.069071,867.61
530405817_0673660c96_1209_7885919@N07.jpg,-34.603691,-34.602778,-58.381637,-58.379038,0.26
534657711_dc2aa849a8_1333_72154266@N00.jpg,-22.995414,28.644846,-43.238539,77.224208,14082.20
580496518_4214d97599_1280_7369430@N02.jpg,30.245165,27.971941,-87.733662,-82.784924,543.09
779600060_a5f8e28de5_1184_52057668@N00.jpg,-34.940336,-32.853772,138.585577,151.164470,1183.08
864479182_d60c47e2ce_1045_25304693@N00.jpg,50.997714,54.507109,5.40199,20.607090,1092.50
970273104_48060e4acd_1207_10815666@N04.jpg,-34.602578,-34.602778,-58.383686,-58.379038,0.43
97344248_30a4521091_32_77325609@N00.jpg,41.395354,41.391982,2.169113,2.165632,0.47
Ankara_00003_601190107_9f05b2251e_1292_8504005@N07.jpg,39.936592,33.798944,32.8553,-117.885213,11282.45
Aruba_00001_99110142_a573655582_34_50517642@N00.jpg,12.532151,12.534829,-70.051435,-70.017509,3.69
Athens_00016_516320955_2f7c0642b4_212_36764971@N00.jpg,37.971102,37.971754,23.726767,23.725684,0.12
Bangkok_00012_219604934_4e3ca563fc_83_82927779@N00.jpg,13.740614,13.761424,100.489861,100.470557,3.11
Barcelona_00014_144658910_7517982a97_46_49503208420@N01.jpg,41.385245,41.387076,2.169284,2.170116,0.22
Belgium_00017_276044730_dceb8cccbc_112_12814307@N00.jpg,50.657949,55.322524,5.474624,-1.628284,702.91
Bosnia_00004_1138531814_e3579a53d8_1067_11515930@N06.jpg,43.065376,43.289017,17.71202,17.761380,25.19
California_00119_356125022_0a5c48aa89_139_64855637@N00.jpg,36.618184,36.614211,-121.901893,-121.898939,0.51
California_00122_361328855_6ace238cbf_134_41894169878@N01.jpg,33.441321,37.851294,-118.492891,-122.563975,612.86
California_00147_439592027_f8ffa59be8_188_66347119@N00.jpg,33.89441,34.370738,-115.829662,-116.892250,111.22
Cambodia_00020_401343054_b6c0b85d50_133_33463080@N00.jpg,13.372585,13.372680,103.856849,103.860222,0.37
Canada_00106_513453328_03108e034b_227_7665941@N08.jpg,49.291349,49.290464,-123.127512,-123.121748,0.43
Chicago_00046_286428804_4fd17dde48_106_51306116@N00.jpg,41.885921,41.891712,-87.622833,-87.604268,1.67
China_00073_487137127_79fefd5305_196_8159033@N04.jpg,34.272254,39.977167,108.896656,116.287876,911.39
China_00092_1004463976_03bb680078_1105_91728102@N00.jpg,28.362854,28.746239,121.068735,110.564975,1026.45
Connecticut_00004_364162616_48c230f9e2_116_15376845@N00.jpg,41.387237,37.254961,-72.984205,-79.871593,749.34
Croatia_00029_965780821_723a75feee_1096_78247883@N00.jpg,42.640107,45.438355,18.110811,12.327986,556.99
Cyprus_00009_504391595_088287d4f6_189_8255645@N03.jpg,34.937874,42.055963,32.86663,1.683070,2809.28
Denmark_00009_258337247_96db5706ff_95_70402049@N00.jpg,55.684655,-34.586438,12.589323,-58.392316,12066.67
DominicanRepublic_00008_528391253_78e9959702_1170_37476307@N00.jpg,18.365027,20.202142,-69.020611,-87.442000,1943.18
Egypt_00018_389284696_a6c0fa7e22_160_36948083@N00.jpg,24.032668,37.971754,32.825775,23.725684,1773.82
Finland_00036_636777751_bedf67eb53_1348_86122102@N00.jpg,60.375722,56.412341,21.391754,13.556725,633.81
Florida_00015_180339543_001a933e62_70_43935788@N00.jpg,24.938747,22.575587,-80.650634,-78.619583,334.31
France_00057_257413141_469dcde004_96_26519935@N00.jpg,47.882045,49.294612,7.226428,10.294560,274.91
France_00143_633617121_9d719c65ba_1223_7591003@N03.jpg,48.575755,43.861790,7.744073,5.236187,558.47
Germany_00063_254492987_7c8d55a3b5_99_32367657@N00.jpg,47.79858,47.800558,13.0461,13.043855,0.28
Ghana_00006_933699293_d03cb9ab9b_1129_72526577@N00.jpg,10.849491,12.677514,-1.514739,-2.588009,234.45
Guangzhou_00003_986276060_2769109737_1375_70618949@N00.jpg,23.117311,39.908142,113.353328,116.442373,1889.53
HongKong_00022_295401126_95d3f505b4_116_30554981@N00.jpg,31.23893,22.280208,121.485099,114.159151,1232.62
HongKong_00034_393185078_8a349f2072_169_56776080@N00.jpg,22.286713,22.277359,114.152584,114.176592,2.68
HongKong_00041_504492617_7af38e0004_208_7224156@N03.jpg,22.282425,22.272565,114.146447,114.149474,1.14
Hyderabad_00003_359871435_f5abb5524b_155_36887937@N00.jpg,17.361741,17.427610,78.474558,78.428482,8.81
Illinois_00010_372417850_1818b0405b_166_41315423@N00.jpg,41.215716,39.773148,-88.501578,-89.649352,187.48
India_00024_229287479_474ac2fb6f_79_48637819@N00.jpg,34.147612,34.258095,77.571716,77.525429,13.00
India_00032_291479604_013cb872ba_122_59555137@N00.jpg,27.179676,27.172724,78.044042,78.041213,0.82
Ireland_00028_249916505_59bfd4d0d3_81_92123108@N00.jpg,52.141284,45.650948,-10.279426,13.767734,1889.16
Israel_00028_511241861_3efa314a4b_219_62126383@N00.jpg,31.776938,31.790921,35.23545,35.187438,4.80
Italy_00021_160108325_a88a1ef93b_53_80333007@N00.jpg,42.001664,42.736355,12.62947,-8.337980,1720.05
Japan_00056_261461022_a16eeca101_114_60558526@N00.jpg,34.967491,34.685796,137.168941,135.837796,125.48
Japan_00108_482880218_7f3a0383bc_175_8047699@N05.jpg,35.339774,35.313375,139.526367,139.539708,3.18
Lahore_00001_321085080_28863df64f_130_82503882@N00.jpg,31.58895,28.644846,74.311378,77.224208,430.84
Libya_00002_579471142_2e1919f8df_1017_9076790@N05.jpg,29.536424,54.085322,21.033325,8.694860,2905.20
