img_id,gt_lat,predicted_lat,gt_long,predicted_long,great_circle_distance
1095548455_f636d22cbb_1277_8576809@N08.jpg,31.893581,50.074232,-85.141124,19.225167,8265.94
1185597181_0158ab4213_1311_43616936@N00.jpg,42.346571,42.343722,-71.097228,-71.091375,0.58
1199004207_0ce4e7a456_1285_16418049@N00.jpg,37.090924,38.221617,25.370521,-4.727753,2640.93
212568980_fb3a00288d_71_21844368@N00.jpg,12.974449,10.767383,77.562789,106.699877,3178.39
243683202_38f0178ce4_88_11807142@N00.jpg,37.970117,37.108899,23.720426,14.286112,836.95
247766999_1de867ab93_96_94409333@N00.jpg,36.403107,41.383366,-93.736736,2.167129,7863.48
254755691_b3bbae344e_95_79267922@N00.jpg,39.94133,39.916473,116.383666,116.389879,2.81
254762082_1a1b6d27d1_121_79267922@N00.jpg,39.94133,39.916473,116.383666,116.389879,2.81
257034510_2b7d64e610_118_26519935@N00.jpg,13.74989,13.753527,100.494861,100.490245,0.64
257176697_a302df7bec_86_41336221@N00.jpg,40.366689,29.956690,49.835443,-90.070005,11170.78
264192767_4809b75a21_117_35468147630@N01.jpg,42.36246,37.805758,-71.084353,-122.418411,4330.12
314328828_2b52ae145e_120_55852171@N00.jpg,39.996996,39.958174,116.267988,116.277707,4.40
315923188_366ee7e6cd_101_14491548@N00.jpg,51.054991,51.057814,3.732089,3.715315,1.21
339483173_e48ee06639_139_63163416@N00.jpg,31.213021,23.126140,29.946069,-82.366887,10614.21
379263811_e4d22a1ba5_136_59615371@N00.jpg,34.051166,54.782297,-84.285993,26.166247,8129.77
392982444_442d787db5_143_65412829@N00.jpg,39.935276,25.456329,32.852725,97.785140,6149.37
425432303_c817c468e3_166_14882112@N00.jpg,41.371961,41.504249,2.166323,-4.727753,574.72
429777514_e0ba93984e_169_89418754@N00.jpg,41.403491,41.388373,2.174423,2.167129,1.79
429881745_35a951f032_187_37718182@N00.jpg,41.387627,33.517931,2.188044,-111.904554,9306.91
436360592_ef20eb1e98_178_99746029@N00.jpg,39.937908,37.821786,116.398086,-122.412747,9497.32
453384102_723b8a8182_207_55126705@N00.jpg,34.611453,36.700932,-111.841936,-107.290284,472.25
482314949_dbc149bb10_224_50435419@N00.jpg,-34.609758,-33.436183,-58.411216,-70.657369,1135.41
502172768_3a7a22811b_213_69641014@N00.jpg,42.34351,53.593412,-71.033585,9.834537,5813.85
504921450_6f20499550_194_24311489@N00.jpg,33.747894,51.596182,-84.371148,-3.257711,6559.73
530405817_0673660c96_1209_7885919@N07.jpg,-34.603691,-34.601242,-58.381637,-58.377395,0.47
534657711_dc2aa849a8_1333_72154266@N00.jpg,-22.995414,27.705194,-43.238539,85.313622,14855.07
580496518_4214d97599_1280_7369430@N02.jpg,30.245165,27.822930,-87.733662,-82.648344,562.91
779600060_a5f8e28de5_1184_52057668@N00.jpg,-34.940336,-23.585925,138.585577,-46.660878,13483.78
864479182_d60c47e2ce_1045_25304693@N00.jpg,50.997714,52.372722,5.40199,12.599500,518.95
970273104_48060e4acd_1207_10815666@N04.jpg,-34.602578,-34.601242,-58.383686,-58.377395,0.59
97344248_30a4521091_32_77325609@N00.jpg,41.395354,41.395838,2.169113,2.169585,0.07
Ankara_00003_601190107_9f05b2251e_1292_8504005@N07.jpg,39.936592,37.778089,32.8553,-122.384425,11012.37
Aruba_00001_99110142_a573655582_34_50517642@N00.jpg,12.532151,9.073922,-70.051435,-80.810095,1236.18
Athens_00016_516320955_2f7c0642b4_212_36764971@N00.jpg,37.971102,37.762767,23.726767,-122.480689,10909.75
Bangkok_00012_219604934_4e3ca563fc_83_82927779@N00.jpg,13.740614,1.185335,100.489861,102.071828,1406.89
Barcelona_00014_144658910_7517982a97_46_49503208420@N01.jpg,41.385245,40.420764,2.169284,-3.695290,504.30
Belgium_00017_276044730_dceb8cccbc_112_12814307@N00.jpg,50.657949,55.304795,5.474624,-1.529461,697.09
Bosnia_00004_1138531814_e3579a53d8_1067_11515930@N06.jpg,43.065376,42.745857,17.71202,9.901813,636.88
