img_id,gt_lat,predicted_lat,gt_long,predicted_long,great_circle_distance
1095548455_f636d22cbb_1277_8576809@N08.jpg,31.893581,50.116492,-85.141124,19.144974,8258.61
1185597181_0158ab4213_1311_43616936@N00.jpg,42.346571,42.345046,-71.097228,-71.093559,0.35
1199004207_0ce4e7a456_1285_16418049@N00.jpg,37.090924,37.906122,25.370521,-4.783718,2650.09
212568980_fb3a00288d_71_21844368@N00.jpg,12.974449,10.775250,77.562789,106.696070,3177.86
243683202_38f0178ce4_88_11807142@N00.jpg,37.970117,37.239082,23.720426,14.369155,827.43
247766999_1de867ab93_96_94409333@N00.jpg,36.403107,41.383335,-93.736736,2.167130,7863.48
254755691_b3bbae344e_95_79267922@N00.jpg,39.94133,39.916296,116.383666,116.390115,2.84
254762082_1a1b6d27d1_121_79267922@N00.jpg,39.94133,39.916296,116.383666,116.390115,2.84
257034510_2b7d64e610_118_26519935@N00.jpg,13.74989,13.751874,100.494861,100.491568,0.42
257176697_a302df7bec_86_41336221@N00.jpg,40.366689,29.955818,49.835443,-90.068177,11170.78
264192767_4809b75a21_117_35468147630@N01.jpg,42.36246,37.806345,-71.084353,-122.418208,4330.08
314328828_2b52ae145e_120_55852171@N00.jpg,39.996996,39.977167,116.267988,116.287876,2.78
315923188_366ee7e6cd_101_14491548@N00.jpg,51.054991,51.052824,3.732089,3.724362,0.59
339483173_e48ee06639_139_63163416@N00.jpg,31.213021,23.137033,29.946069,-82.363479,10613.20
379263811_e4d22a1ba5_136_59615371@N00.jpg,34.051166,54.707152,-84.285993,25.320059,8090.40
392982444_442d787db5_143_65412829@N00.jpg,39.935276,26.640895,32.852725,99.777602,6247.92
425432303_c817c468e3_166_14882112@N00.jpg,41.371961,41.624315,2.166323,-4.731526,575.00
429777514_e0ba93984e_169_89418754@N00.jpg,41.403491,41.388288,2.174423,2.167700,1.78
429881745_35a951f032_187_37718182@N00.jpg,41.387627,33.508744,2.188044,-111.919836,9308.63
436360592_ef20eb1e98_178_99746029@N00.jpg,39.937908,37.825042,116.398086,-122.421758,9496.53
