img_id,gt_lat,predicted_lat,gt_long,predicted_long,great_circle_distance
1095548455_f636d22cbb_1277_8576809@N08.jpg,31.893581,32.922627,-85.141124,-93.967561,836.20
1185597181_0158ab4213_1311_43616936@N00.jpg,42.346571,42.345046,-71.097228,-71.093559,0.35
1199004207_0ce4e7a456_1285_16418049@N00.jpg,37.090924,36.429976,25.370521,25.424291,73.65
212568980_fb3a00288d_71_21844368@N00.jpg,12.974449,12.988185,77.562789,77.596433,3.95
243683202_38f0178ce4_88_11807142@N00.jpg,37.970117,37.970642,23.720426,23.726503,0.54
247766999_1de867ab93_96_94409333@N00.jpg,36.403107,40.616394,-93.736736,-81.571105,1156.24
254755691_b3bbae344e_95_79267922@N00.jpg,39.94133,39.904627,116.383666,116.388517,4.10
254762082_1a1b6d27d1_121_79267922@N00.jpg,39.94133,39.904627,116.383666,116.388517,4.10
257034510_2b7d64e610_118_26519935@N00.jpg,13.74989,13.751874,100.494861,100.491568,0.42
257176697_a302df7bec_86_41336221@N00.jpg,40.366689,35.505160,49.835443,33.353874,1540.28
264192767_4809b75a21_117_35468147630@N01.jpg,42.36246,42.375269,-71.084353,-71.117500,3.07
314328828_2b52ae145e_120_55852171@N00.jpg,39.996996,39.977167,116.267988,116.287876,2.78
315923188_366ee7e6cd_101_14491548@N00.jpg,51.054991,51.052824,3.732089,3.724362,0.59
339483173_e48ee06639_139_63163416@N00.jpg,31.213021,23.137033,29.946069,-82.363479,10613.20
379263811_e4d22a1ba5_136_59615371@N00.jpg,34.051166,39.894889,-84.285993,-78.640394,820.43
392982444_442d787db5_143_65412829@N00.jpg,39.935276,39.364465,32.852725,32.918648,63.72
425432303_c817c468e3_166_14882112@N00.jpg,41.371961,41.383335,2.166323,2.167130,1.27
429777514_e0ba93984e_169_89418754@N00.jpg,41.403491,41.403509,2.174423,2.172809,0.13
429881745_35a951f032_187_37718182@N00.jpg,41.387627,40.417892,2.188044,-3.687741,505.35
436360592_ef20eb1e98_178_99746029@N00.jpg,39.937908,41.802531,116.398086,-87.653297,10607.53
453384102_723b8a8182_207_55126705@N00.jpg,34.611453,34.965851,-111.841936,-111.715766,41.06
482314949_dbc149bb10_224_50435419@N00.jpg,-34.609758,-34.578395,-58.411216,-58.433661,4.05
502172768_3a7a22811b_213_69641014@N00.jpg,42.34351,40.667490,-71.033585,-73.999637,309.38
504921450_6f20499550_194_24311489@N00.jpg,33.747894,38.878769,-84.371148,-77.077593,866.96
530405817_0673660c96_1209_7885919@N07.jpg,-34.603691,-34.602778,-58.381637,-58.379038,0.26
534657711_dc2aa849a8_1333_72154266@N00.jpg,-22.995414,28.649660,-43.238539,77.228030,14082.65
580496518_4214d97599_1280_7369430@N02.jpg,30.245165,30.442529,-87.733662,-86.883773,84.46
779600060_a5f8e28de5_1184_52057668@N00.jpg,-34.940336,-34.927968,138.585577,138.605348,2.27
864479182_d60c47e2ce_1045_25304693@N00.jpg,50.997714,52.396189,5.40199,12.976949,544.44
970273104_48060e4acd_1207_10815666@N04.jpg,-34.602578,-30.032454,-58.383686,-51.230974,842.21
97344248_30a4521091_32_77325609@N00.jpg,41.395354,41.394233,2.169113,2.167114,0.21
Ankara_00003_601190107_9f05b2251e_1292_8504005@N07.jpg,39.936592,33.798944,32.8553,-117.885213,11282.45
Aruba_00001_99110142_a573655582_34_50517642@N00.jpg,12.532151,23.088123,-70.051435,-81.354774,1674.49
Athens_00016_516320955_2f7c0642b4_212_36764971@N00.jpg,37.971102,37.970642,23.726767,23.726503,0.06
Bangkok_00012_219604934_4e3ca563fc_83_82927779@N00.jpg,13.740614,2.051597,100.489861,102.373770,1316.16
Barcelona_00014_144658910_7517982a97_46_49503208420@N01.jpg,41.385245,41.387353,2.169284,2.170616,0.26
