img_id,gt_lat,predicted_lat,gt_long,predicted_long,great_circle_distance
1095548455_f636d22cbb_1277_8576809@N08.jpg,31.893581,30.600370,-85.141124,-89.321708,422.60
1185597181_0158ab4213_1311_43616936@N00.jpg,42.346571,42.345046,-71.097228,-71.093559,0.35
1199004207_0ce4e7a456_1285_16418049@N00.jpg,37.090924,37.506246,25.370521,25.120727,51.20
212568980_fb3a00288d_71_21844368@N00.jpg,12.974449,-7.724496,77.562789,110.663135,4320.40
243683202_38f0178ce4_88_11807142@N00.jpg,37.970117,37.970642,23.720426,23.726503,0.54
247766999_1de867ab93_96_94409333@N00.jpg,36.403107,-33.897864,-93.736736,151.172862,14221.73
254755691_b3bbae344e_95_79267922@N00.jpg,39.94133,39.916296,116.383666,116.390115,2.84
254762082_1a1b6d27d1_121_79267922@N00.jpg,39.94133,39.904627,116.383666,116.388517,4.10
257034510_2b7d64e610_118_26519935@N00.jpg,13.74989,13.751874,100.494861,100.491568,0.42
257176697_a302df7bec_86_41336221@N00.jpg,40.366689,35.907792,49.835443,14.508978,3108.09
264192767_4809b75a21_117_35468147630@N01.jpg,42.36246,42.357260,-71.084353,-71.066569,1.57
314328828_2b52ae145e_120_55852171@N00.jpg,39.996996,39.916296,116.267988,116.390115,13.74
315923188_366ee7e6cd_101_14491548@N00.jpg,51.054991,51.052824,3.732089,3.724362,0.59
339483173_e48ee06639_139_63163416@N00.jpg,31.213021,23.137033,29.946069,-82.363479,10613.20
379263811_e4d22a1ba5_136_59615371@N00.jpg,34.051166,38.984873,-84.285993,-76.934282,855.38
392982444_442d787db5_143_65412829@N00.jpg,39.935276,41.144198,32.852725,-8.611261,3473.03
425432303_c817c468e3_166_14882112@N00.jpg,41.371961,41.383335,2.166323,2.167130,1.27
429777514_e0ba93984e_169_89418754@N00.jpg,41.403491,41.403509,2.174423,2.172809,0.13
429881745_35a951f032_187_37718182@N00.jpg,41.387627,48.806464,2.188044,2.117907,824.96
436360592_ef20eb1e98_178_99746029@N00.jpg,39.937908,22.365340,116.398086,114.183903,1965.12
453384102_723b8a8182_207_55126705@N00.jpg,34.611453,34.965851,-111.841936,-111.715766,41.06
482314949_dbc149bb10_224_50435419@N00.jpg,-34.609758,-34.589695,-58.411216,-58.388225,3.07
502172768_3a7a22811b_213_69641014@N00.jpg,42.34351,37.800796,-71.033585,-122.277521,4323.47
504921450_6f20499550_194_24311489@N00.jpg,33.747894,38.878769,-84.371148,-77.077593,866.96
530405817_0673660c96_1209_7885919@N07.jpg,-34.603691,-34.602778,-58.381637,-58.379038,0.26
534657711_dc2aa849a8_1333_72154266@N00.jpg,-22.995414,10.504604,-43.238539,-66.889643,4528.30
580496518_4214d97599_1280_7369430@N02.jpg,30.245165,27.987699,-87.733662,-82.794134,541.45
779600060_a5f8e28de5_1184_52057668@N00.jpg,-34.940336,-32.853772,138.585577,151.164470,1183.08
864479182_d60c47e2ce_1045_25304693@N00.jpg,50.997714,54.507109,5.40199,20.607090,1092.50
970273104_48060e4acd_1207_10815666@N04.jpg,-34.602578,-34.602778,-58.383686,-58.379038,0.43
97344248_30a4521091_32_77325609@N00.jpg,41.395354,41.394233,2.169113,2.167114,0.21
Ankara_00003_601190107_9f05b2251e_1292_8504005@N07.jpg,39.936592,33.798944,32.8553,-117.885213,11282.45
Aruba_00001_99110142_a573655582_34_50517642@N00.jpg,12.532151,12.340417,-70.051435,-69.617688,51.70
Athens_00016_516320955_2f7c0642b4_212_36764971@N00.jpg,37.971102,36.275404,23.726767,28.075824,429.16
Bangkok_00012_219604934_4e3ca563fc_83_82927779@N00.jpg,13.740614,13.724175,100.489861,100.508938,2.75
Barcelona_00014_144658910_7517982a97_46_49503208420@N01.jpg,41.385245,41.387353,2.169284,2.170616,0.26
Belgium_00017_276044730_dceb8cccbc_112_12814307@N00.jpg,50.657949,55.322524,5.474624,-1.628284,702.91
Bosnia_00004_1138531814_e3579a53d8_1067_11515930@N06.jpg,43.065376,43.144048,17.71202,17.328639,32.33
California_00119_356125022_0a5c48aa89_139_64855637@N00.jpg,36.618184,36.607976,-121.901893,-121.891092,1.49
California_00122_361328855_6ace238cbf_134_41894169878@N01.jpg,33.441321,37.851294,-118.492891,-122.563975,612.86
California_00147_439592027_f8ffa59be8_188_66347119@N00.jpg,33.89441,35.029610,-115.829662,-117.687345,211.98
Cambodia_00020_401343054_b6c0b85d50_133_33463080@N00.jpg,13.372585,41.890388,103.856849,12.491912,9130.82
Canada_00106_513453328_03108e034b_227_7665941@N08.jpg,49.291349,37.808903,-123.127512,-122.433838,1278.00
Chicago_00046_286428804_4fd17dde48_106_51306116@N00.jpg,41.885921,41.888836,-87.622833,-87.610905,1.04
China_00073_487137127_79fefd5305_196_8159033@N04.jpg,34.272254,30.265255,108.896656,120.062885,1139.63
China_00092_1004463976_03bb680078_1105_91728102@N00.jpg,28.362854,29.823394,121.068735,109.595210,1126.10
Connecticut_00004_364162616_48c230f9e2_116_15376845@N00.jpg,41.387237,37.254961,-72.984205,-79.871593,749.34
Croatia_00029_965780821_723a75feee_1096_78247883@N00.jpg,42.640107,45.438355,18.110811,12.327986,556.99
Cyprus_00009_504391595_088287d4f6_189_8255645@N03.jpg,34.937874,40.732465,32.86663,-3.941652,3271.23
Denmark_00009_258337247_96db5706ff_95_70402049@N00.jpg,55.684655,-34.589695,12.589323,-58.388225,12066.76
DominicanRepublic_00008_528391253_78e9959702_1170_37476307@N00.jpg,18.365027,20.195105,-69.020611,-87.431595,1942.06
Egypt_00018_389284696_a6c0fa7e22_160_36948083@N00.jpg,24.032668,37.970642,32.825775,23.726503,1773.68
Finland_00036_636777751_bedf67eb53_1348_86122102@N00.jpg,60.375722,58.203622,21.391754,13.881331,489.73
Florida_00015_180339543_001a933e62_70_43935788@N00.jpg,24.938747,24.600223,-80.650634,-77.595357,310.76
