img_id,gt_lat,predicted_lat,gt_long,predicted_long,great_circle_distance
1000269685_e60e9cdfb4_1125_78841376@N00.jpg,32.325436,26.193849,-64.764404,-77.825306,1437.19
1005977048_5ccf8b05d3_1201_91728102@N00.jpg,29.976052,35.522054,122.390356,126.824556,742.93
1008845063_ace4ef829f_1204_97522422@N00.jpg,46.478536,53.546702,30.758714,9.962279,1672.42
1023756068_20c3ffc329_1039_70323761@N00.jpg,40.807694,-35.311527,-73.962262,149.063375,16237.27
103404365_f852148f5b_34_73293249@N00.jpg,46.080783,25.111174,7.399454,121.852930,9716.37
103442236_09c8d53dbc_37_73293249@N00.jpg,51.501821,51.505018,-0.140655,-0.078046,4.35
103465274_3e879729e0_33_73293249@N00.jpg,46.08035,46.820221,7.209918,9.772154,212.83
1034783376_9e3db4b81a_1016_70323761@N00.jpg,40.820751,51.529219,-73.94892,-0.125803,5558.33
103558896_55f8059bc9_35_73293249@N00.jpg,43.642423,43.644990,-79.387153,-79.377243,0.85
103574519_62331b624f_24_73293249@N00.jpg,43.642423,43.643368,-79.387153,-79.387124,0.11
103575522_cc6a522170_34_73293249@N00.jpg,43.642423,43.641917,-79.387153,-79.387162,0.06
103577701_b68e15492e_32_73293249@N00.jpg,43.085294,-25.570954,-79.079509,-54.569051,8035.63
103726410_49bcd2e470_33_73293249@N00.jpg,40.711492,40.756478,-74.01206,-73.986377,5.45
1038069722_cab11140a5_1378_75452460@N00.jpg,48.214093,48.113426,16.935553,15.214747,128.11
103908913_8ef41889e3_36_11114422@N00.jpg,51.195697,51.173813,-2.27992,-2.171702,7.93
103910409_51606239db_42_11114422@N00.jpg,51.195697,19.069315,-2.27992,72.959702,7347.48
104132709_97b998c989_41_19355699@N00.jpg,-33.861328,-33.858157,151.209039,151.214397,0.61
104133298_2619fc0eae_39_19355699@N00.jpg,-33.861328,-33.856758,151.209039,151.214939,0.75
104134249_80c92294db_19_19355699@N00.jpg,-33.861328,-33.855012,151.209039,151.208248,0.71
