img_id,gt_lat,predicted_lat,gt_long,predicted_long,great_circle_distance
1000269685_e60e9cdfb4_1125_78841376@N00.jpg,32.325436,35.973927,-64.764404,14.565527,7099.76
1005977048_5ccf8b05d3_1201_91728102@N00.jpg,29.976052,8.038587,122.390356,98.836276,3459.86
1008845063_ace4ef829f_1204_97522422@N00.jpg,46.478536,40.573650,30.758714,-73.959494,7805.85
1023756068_20c3ffc329_1039_70323761@N00.jpg,40.807694,37.805758,-73.962262,-122.418411,4129.30
103404365_f852148f5b_34_73293249@N00.jpg,46.080783,52.508221,7.399454,13.377295,835.24
103442236_09c8d53dbc_37_73293249@N00.jpg,51.501821,51.507097,-0.140655,-0.079221,4.29
103465274_3e879729e0_33_73293249@N00.jpg,46.08035,43.837391,7.209918,10.529612,361.09
1034783376_9e3db4b81a_1016_70323761@N00.jpg,40.820751,50.836872,-73.94892,4.369392,5879.01
103558896_55f8059bc9_35_73293249@N00.jpg,43.642423,51.512353,-79.387153,-0.079236,5716.30
103574519_62331b624f_24_73293249@N00.jpg,43.642423,40.749131,-79.387153,-73.984472,548.98
103575522_cc6a522170_34_73293249@N00.jpg,43.642423,25.266265,-79.387153,55.225921,11063.85
103577701_b68e15492e_32_73293249@N00.jpg,43.085294,37.739049,-79.079509,-122.418411,3675.47
103726410_49bcd2e470_33_73293249@N00.jpg,40.711492,40.756958,-74.01206,-73.987411,5.47
1038069722_cab11140a5_1378_75452460@N00.jpg,48.214093,53.034634,16.935553,12.910334,606.35
103908913_8ef41889e3_36_11114422@N00.jpg,51.195697,51.766837,-2.27992,-0.475776,140.14
103910409_51606239db_42_11114422@N00.jpg,51.195697,48.078406,-2.27992,-0.669883,365.48
104132709_97b998c989_41_19355699@N00.jpg,-33.861328,-33.855162,151.209039,151.216073,0.94
104133298_2619fc0eae_39_19355699@N00.jpg,-33.861328,-33.855162,151.209039,151.216073,0.94
104134249_80c92294db_19_19355699@N00.jpg,-33.861328,-33.855162,151.209039,151.216073,0.94
104134428_244b67a2d9_38_19355699@N00.jpg,-33.861328,52.525410,151.209039,13.416730,16092.97
104134591_85c54effac_41_19355699@N00.jpg,-33.861328,-36.849762,151.209039,174.762891,2156.11
104146945_2722f724b3_19_14542551@N00.jpg,47.913695,41.460611,106.833114,2.184328,7631.61
104419192_8551684362_41_64825499@N00.jpg,51.508168,49.667672,-0.076035,6.585813,512.66
1054676623_3278c97053_1242_70323761@N00.jpg,40.763169,40.659547,-73.945257,-74.006509,12.63
1055535547_d8ebd9b0ff_1005_52057668@N00.jpg,43.345154,40.832853,11.293945,-5.393955,1402.58
1055596489_76a46df552_1047_52057668@N00.jpg,43.345154,41.383181,11.293945,2.176956,779.70
1056311007_52319e8695_1127_9729483@N02.jpg,19.633291,-6.640008,-155.98991,121.628310,9464.24
1058450330_29b27f18cc_1304_52057668@N00.jpg,48.858842,48.858568,2.329101,2.353084,1.75
1064247804_21a7ce7392_1272_73293249@N00.jpg,52.506442,48.373528,13.337682,2.415596,898.33
1065427105_186af84f48_1367_70323761@N00.jpg,41.935064,51.936816,-74.018674,-0.095365,5472.88
1066619342_4f62e58221_1239_70323761@N00.jpg,41.933021,37.839333,-74.019286,-95.729982,1901.86
1070873718_eab41ad951_1427_93455345@N00.jpg,50.260814,54.782297,18.846359,26.166247,705.02
1076964851_c20355b981_1431_93455345@N00.jpg,43.137069,43.267844,131.929321,-2.932579,9408.87
1076986527_4de9d086bc_1124_93455345@N00.jpg,43.137069,40.442438,131.929321,-3.733354,9712.33
1077074655_69c5dba648_1048_93455345@N00.jpg,52.045734,25.960395,113.411865,33.078901,7118.94
1077086393_e1aea6d21e_1090_93455345@N00.jpg,52.32191,49.236299,104.227294,-122.984108,7876.06
1077155473_80c037f16a_1120_93455345@N00.jpg,51.733832,44.666930,39.25415,-92.777981,8351.39
107717568_95f67ce436_37_17351226@N00.jpg,59.929043,55.749790,30.313854,37.614033,633.85
1077208489_d307c44d40_1355_93455345@N00.jpg,43.137069,24.545564,131.929321,117.173532,2467.62
1077244783_6b676179aa_1032_93455345@N00.jpg,51.733832,51.578056,39.25415,-0.117709,2682.71
1077955412_5c254dabba_1246_93455345@N00.jpg,54.788017,54.782297,55.964355,26.166247,1896.18
1085889653_66207e5068_1416_33463080@N00.jpg,14.021187,-33.855162,99.527893,151.216073,7630.43
1086201488_cd08f71bb8_1056_33463080@N00.jpg,13.732881,35.712150,100.503273,139.762652,4611.37
1086319092_34f919b886_1232_33463080@N00.jpg,13.732881,20.321341,100.503273,-88.168167,16111.54
109049475_c5794551d3_53_18684820@N00.jpg,16.056371,37.564105,103.646392,-122.288073,12361.73
109090818_b0c5177552_47_18684820@N00.jpg,17.400605,-21.095212,104.779701,-48.719142,17206.22
1091261185_24d87262d8_1178_80333007@N00.jpg,43.54693,44.190315,10.312557,12.254792,171.34
109444762_8b7eb2eff0_45_44972214@N00.jpg,32.759562,43.366975,-117.180175,-3.017571,9232.67
1095141034_31d7994014_1432_33463080@N00.jpg,12.917568,-8.571002,104.58847,115.188916,2660.89
109515826_6e23accec7_54_18684820@N00.jpg,13.735383,13.712794,100.500183,100.507114,2.62
1095455094_de1cee2271_1306_33463080@N00.jpg,12.917568,-8.583610,104.58847,111.093731,2496.47
1097531112_dce44408c2_1403_9729483@N02.jpg,21.331284,10.538826,-157.920624,-66.903494,9687.10
1097784160_262625335f_1009_9729483@N02.jpg,38.035171,32.226486,-97.92862,-95.729982,676.07
1099044629_a345ba7db8_1115_70323761@N00.jpg,40.742713,37.821786,-74.006448,-122.412747,4126.04
1099219094_cad7dd327e_1258_70323761@N00.jpg,40.719615,38.242549,-73.953469,13.174035,7150.01
110016321_34c0ac4524_55_18684820@N00.jpg,13.735383,13.746606,100.500183,100.518362,2.33
1100269292_a7e742b120_1092_9729483@N02.jpg,37.716107,41.818757,-97.410605,-87.776333,940.54
1101090129_d124208854_1241_33463080@N00.jpg,13.372585,13.412251,103.856849,103.844813,4.60
1104068861_5792a115db_1369_33463080@N00.jpg,13.372585,13.409668,103.856849,103.891200,5.55
1106682564_0b76ef20a3_1279_33463080@N00.jpg,13.372585,13.367097,103.856849,103.844813,1.44
1108236217_688d857d7c_1394_77235581@N00.jpg,58.20312,44.637745,-6.379559,-63.540467,4094.53
111013518_cc990d42cf_51_36948083@N00.jpg,13.426188,13.478717,103.85848,103.868005,5.93
1112035723_0a63e75d0e_1114_33463080@N00.jpg,13.372585,37.732148,103.856849,-78.293171,14328.07
