img_id,gt_lat,predicted_lat,gt_long,predicted_long,great_circle_distance
1000269685_e60e9cdfb4_1125_78841376@N00.jpg,32.325436,35.907792,-64.764404,14.508978,7097.84
1005977048_5ccf8b05d3_1201_91728102@N00.jpg,29.976052,7.968891,122.390356,98.777445,3469.95
1008845063_ace4ef829f_1204_97522422@N00.jpg,46.478536,40.575452,30.758714,-73.975670,7806.68
1023756068_20c3ffc329_1039_70323761@N00.jpg,40.807694,37.806345,-73.962262,-122.418208,4129.26
103404365_f852148f5b_34_73293249@N00.jpg,46.080783,52.509267,7.399454,13.376130,835.29
103442236_09c8d53dbc_37_73293249@N00.jpg,51.501821,51.506529,-0.140655,-0.078474,4.34
103465274_3e879729e0_33_73293249@N00.jpg,46.08035,43.843051,7.209918,10.507648,359.40
1034783376_9e3db4b81a_1016_70323761@N00.jpg,40.820751,50.839093,-73.94892,4.369025,5878.90
103558896_55f8059bc9_35_73293249@N00.jpg,43.642423,51.513059,-79.387153,-0.080145,5716.21
103574519_62331b624f_24_73293249@N00.jpg,43.642423,40.748579,-79.387153,-73.985365,548.96
103575522_cc6a522170_34_73293249@N00.jpg,43.642423,25.246189,-79.387153,55.291065,11069.18
103577701_b68e15492e_32_73293249@N00.jpg,43.085294,37.741287,-79.079509,-122.417324,3675.28
103726410_49bcd2e470_33_73293249@N00.jpg,40.711492,40.756539,-74.01206,-73.986706,5.45
1038069722_cab11140a5_1378_75452460@N00.jpg,48.214093,53.109199,16.935553,12.954604,612.15
103908913_8ef41889e3_36_11114422@N00.jpg,51.195697,51.770609,-2.27992,-0.482921,139.89
103910409_51606239db_42_11114422@N00.jpg,51.195697,47.873977,-2.27992,-0.639720,387.83
104132709_97b998c989_41_19355699@N00.jpg,-33.861328,-33.856007,151.209039,151.214186,0.76
104133298_2619fc0eae_39_19355699@N00.jpg,-33.861328,-33.856007,151.209039,151.214186,0.76
104134249_80c92294db_19_19355699@N00.jpg,-33.861328,-33.856007,151.209039,151.214186,0.76
104134428_244b67a2d9_38_19355699@N00.jpg,-33.861328,52.522770,151.209039,13.412969,16093.30
104134591_85c54effac_41_19355699@N00.jpg,-33.861328,-36.848994,151.209039,174.763484,2156.16
104146945_2722f724b3_19_14542551@N00.jpg,47.913695,41.451599,106.833114,2.180314,7632.56
104419192_8551684362_41_64825499@N00.jpg,51.508168,49.735761,-0.076035,6.621060,511.67
1054676623_3278c97053_1242_70323761@N00.jpg,40.763169,40.667490,-73.945257,-73.999637,11.58
1055535547_d8ebd9b0ff_1005_52057668@N00.jpg,43.345154,40.952704,11.293945,-5.640559,1418.60
1055596489_76a46df552_1047_52057668@N00.jpg,43.345154,41.383453,11.293945,2.176848,779.70
1056311007_52319e8695_1127_9729483@N02.jpg,19.633291,-6.682981,-155.98991,120.718515,9560.09
1058450330_29b27f18cc_1304_52057668@N00.jpg,48.858842,48.859076,2.329101,2.352087,1.68
1064247804_21a7ce7392_1272_73293249@N00.jpg,52.506442,48.491051,13.337682,2.442517,889.29
1065427105_186af84f48_1367_70323761@N00.jpg,41.935064,51.901519,-74.018674,-0.155307,5470.30
1066619342_4f62e58221_1239_70323761@N00.jpg,41.933021,37.665787,-74.019286,-95.690861,1905.54
1070873718_eab41ad951_1427_93455345@N00.jpg,50.260814,54.707152,18.846359,25.320059,660.22
1076964851_c20355b981_1431_93455345@N00.jpg,43.137069,43.267910,131.929321,-2.933447,9408.90
1076986527_4de9d086bc_1124_93455345@N00.jpg,43.137069,40.443103,131.929321,-3.730588,9712.14
