img_id,gt_lat,predicted_lat,gt_long,predicted_long,great_circle_distance
1000269685_e60e9cdfb4_1125_78841376@N00.jpg,32.325436,20.563026,-64.764404,-87.045945,2566.92
1005977048_5ccf8b05d3_1201_91728102@N00.jpg,29.976052,37.254369,122.390356,126.897616,910.28
1008845063_ace4ef829f_1204_97522422@N00.jpg,46.478536,40.845552,30.758714,14.253277,1464.25
1023756068_20c3ffc329_1039_70323761@N00.jpg,40.807694,39.946805,-73.962262,-75.143950,138.50
103404365_f852148f5b_34_73293249@N00.jpg,46.080783,47.374806,7.399454,10.504093,276.92
103442236_09c8d53dbc_37_73293249@N00.jpg,51.501821,51.506529,-0.140655,-0.078474,4.34
103465274_3e879729e0_33_73293249@N00.jpg,46.08035,46.149958,7.209918,6.866896,27.55
1034783376_9e3db4b81a_1016_70323761@N00.jpg,40.820751,53.794947,-73.94892,-1.534680,5393.76
103558896_55f8059bc9_35_73293249@N00.jpg,43.642423,3.157745,-79.387153,101.714904,14809.98
103574519_62331b624f_24_73293249@N00.jpg,43.642423,43.642365,-79.387153,-79.388031,0.07
103575522_cc6a522170_34_73293249@N00.jpg,43.642423,41.882523,-79.387153,-87.622410,699.85
103577701_b68e15492e_32_73293249@N00.jpg,43.085294,43.080999,-79.079509,-79.078700,0.48
103726410_49bcd2e470_33_73293249@N00.jpg,40.711492,40.756539,-74.01206,-73.986706,5.45
1038069722_cab11140a5_1378_75452460@N00.jpg,48.214093,48.610012,16.935553,13.190025,279.90
103908913_8ef41889e3_36_11114422@N00.jpg,51.195697,51.770609,-2.27992,-0.482921,139.89
103910409_51606239db_42_11114422@N00.jpg,51.195697,27.705351,-2.27992,85.314499,7485.54
104132709_97b998c989_41_19355699@N00.jpg,-33.861328,-33.856007,151.209039,151.214186,0.76
104133298_2619fc0eae_39_19355699@N00.jpg,-33.861328,-33.856007,151.209039,151.214186,0.76
104134249_80c92294db_19_19355699@N00.jpg,-33.861328,-33.856007,151.209039,151.214186,0.76
104134428_244b67a2d9_38_19355699@N00.jpg,-33.861328,-33.870468,151.209039,151.207437,1.03
104134591_85c54effac_41_19355699@N00.jpg,-33.861328,-33.870468,151.209039,151.207437,1.03
104146945_2722f724b3_19_14542551@N00.jpg,47.913695,37.756006,106.833114,-122.391523,9316.05
104419192_8551684362_41_64825499@N00.jpg,51.508168,51.506843,-0.076035,-0.075231,0.16
