img_id,gt_lat,predicted_lat,gt_long,predicted_long,great_circle_distance
1000269685_e60e9cdfb4_1125_78841376@N00.jpg,32.325436,26.193849,-64.764404,-77.825306,1437.19
1005977048_5ccf8b05d3_1201_91728102@N00.jpg,29.976052,35.522054,122.390356,126.824556,742.93
1008845063_ace4ef829f_1204_97522422@N00.jpg,46.478536,-33.040401,30.758714,-71.621671,13484.98
1023756068_20c3ffc329_1039_70323761@N00.jpg,40.807694,-35.294676,-73.962262,149.050254,16237.65
103404365_f852148f5b_34_73293249@N00.jpg,46.080783,24.867151,7.399454,121.860630,9737.88
103442236_09c8d53dbc_37_73293249@N00.jpg,51.501821,51.506529,-0.140655,-0.078474,4.34
103465274_3e879729e0_33_73293249@N00.jpg,46.08035,45.886380,7.209918,11.526826,334.20
1034783376_9e3db4b81a_1016_70323761@N00.jpg,40.820751,-43.528253,-73.94892,172.627823,14670.76
103558896_55f8059bc9_35_73293249@N00.jpg,43.642423,43.644990,-79.387153,-79.377243,0.85
103574519_62331b624f_24_73293249@N00.jpg,43.642423,43.642365,-79.387153,-79.388031,0.07
103575522_cc6a522170_34_73293249@N00.jpg,43.642423,43.642365,-79.387153,-79.388031,0.07
103577701_b68e15492e_32_73293249@N00.jpg,43.085294,43.080999,-79.079509,-79.078700,0.48
103726410_49bcd2e470_33_73293249@N00.jpg,40.711492,40.756539,-74.01206,-73.986706,5.45
1038069722_cab11140a5_1378_75452460@N00.jpg,48.214093,48.113426,16.935553,15.214747,128.11
103908913_8ef41889e3_36_11114422@N00.jpg,51.195697,51.173813,-2.27992,-2.171702,7.93
103910409_51606239db_42_11114422@N00.jpg,51.195697,12.438880,-2.27992,99.847552,9757.14
104132709_97b998c989_41_19355699@N00.jpg,-33.861328,-33.856007,151.209039,151.214186,0.76
104133298_2619fc0eae_39_19355699@N00.jpg,-33.861328,-33.856007,151.209039,151.214186,0.76
104134249_80c92294db_19_19355699@N00.jpg,-33.861328,-33.855012,151.209039,151.208248,0.71
